ID,CATEGORY_ICD10,NMU_CODE,DESCRIPTION,NMU_TYPE,DATE,BASIC_ADDITIONAL,SECTION,FLC_REMD
18,A17,A05.23.009,Магнитно-резонансная томография головного мозга,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A05.23.009 Магнитно-резонансная томография головного мозга
19,A17,B01.023.001,"Прием (осмотр, консультация) врача-невролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.023.001 Прием (осмотр, консультация) врача-невролога первичный"
20,A18,A26.09.002.001,Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на МБТ,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A26.09.002.001 Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на МБТ
21,A18,A26.09.002.002,Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на МБТ,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A26.09.002.002 Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на МБТ
22,A18,A26.09.080,"Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов на МБТ",Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,"A26.09.080 Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов на МБТ"
23,A18.0,A06.03.062,Компьютерная томография кости,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.03.062 Компьютерная томография кости
24,A18.0,B01.050.001,"Прием (осмотр, консультация) врача-травматолога-ортопеда первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.050.001 Прием (осмотр, консультация) врача-травматолога-ортопеда первичный"
25,A18.1,A04.28.002,Ультразвуковое исследование мочевыводящих путей,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.28.002 Ультразвуковое исследование мочевыводящих путей
26,A18.1,A04.30.010,Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.010 Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное)
28,A18.1,A04.28.001,Ультразвуковое исследование почек и надпочечников,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A04.28.001 Ультразвуковое исследование почек и надпочечников
29,A18.1,B01.053.001,"Прием (осмотр, консультация) врача-уролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.053.001 Прием (осмотр, консультация) врача-уролога первичный"
30,A18.2,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
31,A18.2,A04.06.002,Ультразвуковое исследование лимфатических узлов (одна анатомическая зона),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A04.06.002 Ультразвуковое исследование лимфатических узлов (одна анатомическая зона)
32,A18.3,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
33,A18.4,B01.008.001,"Прием (осмотр, консультация) врача-дерматовенеролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.008.001 Прием (осмотр, консультация) врача-дерматовенеролога первичный"
34,A18.5,B01.029.001,"Прием (осмотр, консультация) врача-офтальмолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.029.001 Прием (осмотр, консультация) врача-офтальмолога первичный"
35,A18.6,B01.028.001,"Прием (осмотр, консультация) врача-оториноларинголога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.028.001 Прием (осмотр, консультация) врача-оториноларинголога первичный"
36,A18.7,B01.058.001,"Прием (осмотр, консультация) врача-эндокринолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.058.001 Прием (осмотр, консультация) врача-эндокринолога первичный"
37,B15-B19,A04.14.001.005,Эластометрия печени при необходимости уточнения стадии фиброза печени,Инструментальное обследование,"Действительно 1 год при первичном направлении, 1 год при повторном направлении",2,1,A04.14.001.005 Эластометрия печени при необходимости уточнения стадии фиброза печени
38,B15-B19,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
39,B18.0,A26.05.023.001,"Определение рибонуклеиновой кислоты вируса гепатита D (Hepatitis D virus) в крови методом полимеразной цепной реакции, качественное исследование",Лабораторное исследование,Действительно 180 календарных дней,1,1,"A26.05.023.001 Определение рибонуклеиновой кислоты вируса гепатита D (Hepatitis D virus) в крови методом полимеразной цепной реакции, качественное исследование"
40,B18.0,A26.05.020.002,"Определение ДНК вируса гепатита B (Hepatitis B virus) в крови методом ПЦР, количественное исследование",Лабораторное исследование,Действительно 180 календарных дней,1,1,"A26.05.020.002 Определение ДНК вируса гепатита B (Hepatitis B virus) в крови методом ПЦР, количественное исследование"
41,B18.0,A26.06.035,Определение антигена (HBeAg) вируса гепатита B (Hepatitis B virus) в крови,Лабораторное исследование,Действительно 180 календарных дней,1,1,A26.06.035 Определение антигена (HBeAg) вируса гепатита B (Hepatitis B virus) в крови
42,B18.0,A26.06.038,Определение антител к e-антигену (anti-HBe) вируса гепатита B (Hepatitis B virus) в крови,Лабораторное исследование,Действительно 180 календарных дней,1,1,A26.06.038 Определение антител к e-антигену (anti-HBe) вируса гепатита B (Hepatitis B virus) в крови
43,B18.0,A09.05.089,"Исследование уровня альфа-фетопротеина в сыворотке крови у пациентов с тяжелым фиброзом и циррозом печени, злоупотребляющих алкоголем, с коинфекцией вирусным гепатитом C, с гепатоцеллюлярной карциномой в семейном анамнезе, у женщин старше 50 лет и мужчин старше 40 лет, с длительным сроком инфицирования вирусным гепатитом B",Лабораторное исследование,Действительно 180 календарных дней,2,1,"A09.05.089 Исследование уровня альфа-фетопротеина в сыворотке крови у пациентов с тяжелым фиброзом и циррозом печени, злоупотребляющих алкоголем, с коинфекцией вирусным гепатитом C, с гепатоцеллюлярной карциномой в семейном анамнезе, у женщин старше 50 лет и мужчин старше 40 лет, с длительным сроком инфицирования вирусным гепатитом B"
44,B18.1,A26.05.020.002,"Определение ДНК вируса гепатита B (Hepatitis B virus) в крови методом ПЦР, количественное исследование",Лабораторное исследование,Действительно 180 календарных дней,1,1,"A26.05.020.002 Определение ДНК вируса гепатита B (Hepatitis B virus) в крови методом ПЦР, количественное исследование"
45,B18.1,A26.06.035,Определение антигена (HBeAg) вируса гепатита B (Hepatitis B virus) в крови,Лабораторное исследование,Действительно 180 календарных дней,1,1,A26.06.035 Определение антигена (HBeAg) вируса гепатита B (Hepatitis B virus) в крови
46,B18.1,A26.06.038,Определение антител к e-антигену (anti-HBe) вируса гепатита B (Hepatitis B virus) в крови,Лабораторное исследование,Действительно 180 календарных дней,1,1,A26.06.038 Определение антител к e-антигену (anti-HBe) вируса гепатита B (Hepatitis B virus) в крови
47,B18.2,A26.05.019.001,"Определение РНК вируса гепатита C (Hepatitis C virus) в крови методом ПЦР, качественное исследование",Лабораторное исследование,Действительно 180 календарных дней,1,1,"A26.05.019.001 Определение РНК вируса гепатита C (Hepatitis C virus) в крови методом ПЦР, качественное исследование"
48,B18.2,A26.05.019.003,Определение генотипа вируса гепатита C (Hepatitis C virus),Лабораторное исследование,Действительно бессрочно,1,1,A26.05.019.003 Определение генотипа вируса гепатита C (Hepatitis C virus)
49,B20-B24; Z21,A26.05.021.001,Количественное определение РНК вируса иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV-1) в плазме крови методом ПЦР,Лабораторное исследование,Действительно 90 календарных дней,1,1,A26.05.021.001 Количественное определение РНК вируса иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV-1) в плазме крови методом ПЦР
50,B20-B24; Z21,A12.06.001.002,Исследование CD4+ лимфоцитов,Лабораторное исследование,Действительно 90 календарных дней,1,1,A12.06.001.002 Исследование CD4+ лимфоцитов
51,B20-B24; Z21,A12.06.001.003,Исследование CD8+ лимфоцитов,Лабораторное исследование,Действительно 90 календарных дней,1,1,A12.06.001.003 Исследование CD8+ лимфоцитов
52,C00-D48,B01.027.001,"Прием (осмотр, консультация) врача-онколога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.027.001 Прием (осмотр, консультация) врача-онколога первичный"
53,C00-D48,B03.016.003,Общий (клинический) анализ крови развернутый,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.003 Общий (клинический) анализ крови развернутый
54,C00-D48,B03.016.004,Анализ крови биохимический общетерапевтический,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.004 Анализ крови биохимический общетерапевтический
55,C00-D48,B03.016.006,Общий (клинический) анализ мочи,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.006 Общий (клинический) анализ мочи
56,C00-D48,A05.10.006,Регистрация электрокардиограммы,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A05.10.006 Регистрация электрокардиограммы
57,C00-D48,A05.10.004,"Расшифровка, описание и интерпретация электрокардиографических данных",Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"A05.10.004 Расшифровка, описание и интерпретация электрокардиографических данных"
58,C00-D48,A02.03.005,Измерение роста,Инструментальное обследование,Действительно 1 год,1,1,A02.03.005 Измерение роста
59,C00-D48,A02.01.001,Измерение массы тела,Инструментальное обследование,Действительно 120 календарных дней,1,1,A02.01.001 Измерение массы тела
60,C00-D48,A08.30.013,Патологоанатомическое исследование биопсийного (операционного) материала с применением иммуногистохимических методов при возможности получения биопсийного материала,Лабораторное исследование,Действительно бессрочно,1,1,A08.30.013 Патологоанатомическое исследование биопсийного (операционного) материала с применением иммуногистохимических методов при возможности получения биопсийного материала
61,C00-C14,A04.06.002,Ультразвуковое исследование лимфатических узлов (одна анатомическая зона),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.06.002 Ультразвуковое исследование лимфатических узлов (одна анатомическая зона)
62,C00-C14,A04.01.001,Ультразвуковое исследование мягких тканей (одна анатомическая зона) в отношении зоны лица и зоны шеи,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.01.001 Ультразвуковое исследование мягких тканей (одна анатомическая зона) в отношении зоны лица и зоны шеи
63,C00-C14,A04.07.002,Ультразвуковое исследование слюнных желез,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.07.002 Ультразвуковое исследование слюнных желез
64,C00-C14,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
65,C15,A03.16.001,Эзофагогастродуоденоскопия,Инструментальное обследование,Действительно бессрочно,1,1,A03.16.001 Эзофагогастродуоденоскопия
67,C15,A04.01.001,Ультразвуковое исследование мягких тканей (одна анатомическая зона) в отношении шейно-надключичных зон,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.01.001 Ультразвуковое исследование мягких тканей (одна анатомическая зона) в отношении шейно-надключичных зон
68,C15,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
69,C15,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
70,C16,A03.16.001,Эзофагогастродуоденоскопия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A03.16.001 Эзофагогастродуоденоскопия
72,C16,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
73,C16,A04.30.010,Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное) при наличии метастазов в органах и структурах малого таза,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",2,1,A04.30.010 Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное) при наличии метастазов в органах и структурах малого таза
74,C16,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
75,C17,A06.30.004.001,Обзорная рентгенография органов брюшной полости при наличии симптомов опухолевого стеноза,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",2,1,A06.30.004.001 Обзорная рентгенография органов брюшной полости при наличии симптомов опухолевого стеноза
76,C17,A04.16.001,Ультразвуковое исследование органов брюшной полости комплексное,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости комплексное
77,C18,A03.18.001,Колоноскопия,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A03.18.001 Колоноскопия
79,C18,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
80,C18,A04.30.003,Ультразвуковое исследование забрюшинного пространства,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.003 Ультразвуковое исследование забрюшинного пространства
81,C19,A03.18.001,Колоноскопия,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A03.18.001 Колоноскопия
83,C19,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
84,C19,A04.30.010,Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.010 Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное)
85,C19,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
86,C19,A04.30.003,Ультразвуковое исследование забрюшинного пространства,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.003 Ультразвуковое исследование забрюшинного пространства
88,C20,A03.19.004,Ректосигмоидоскопия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A03.19.004 Ректосигмоидоскопия
90,C20,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
91,C20,A04.30.010,Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.010 Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное)
92,C20,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
93,C20,A04.30.003,Ультразвуковое исследование забрюшинного пространства,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.003 Ультразвуковое исследование забрюшинного пространства
95,C22,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
96,C22,A04.30.003,Ультразвуковое исследование забрюшинного пространства,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.003 Ультразвуковое исследование забрюшинного пространства
98,C25,A04.30.010,Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.010 Ультразвуковое исследование органов малого таза комплексное (трансвагинальное и трансабдоминальное)
99,C25,A04.16.001,Ультразвуковое исследование органов брюшной полости (комплексное),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.16.001 Ультразвуковое исследование органов брюшной полости (комплексное)
100,C25,A04.30.003,Ультразвуковое исследование забрюшинного пространства,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.30.003 Ультразвуковое исследование забрюшинного пространства
101,C25,A06.09.007,Рентгенография легких,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.09.007 Рентгенография легких
